[2025-12-08 18:32:39] Starting abnormal monitor (backend diff detection)
[2025-12-08 18:32:45] MFC4_N2-4 | 실제값: [2025-12-08 18:32:44] [0.501] | 예측값: [2025-12-08 18:32:44] [0.49966675] | diff_abs: 0.0013, diff_pct: 0.27% | 정상
[2025-12-08 18:32:46] MFC7_DCS | 실제값: [2025-12-08 18:32:44] [0.0] | 예측값: [2025-12-08 18:32:44] [0.0008395612] | diff_abs: 0.0008, diff_pct: 0.08% | 정상
[2025-12-08 18:32:46] MFC7_DCS | 실제값: [2025-12-08 18:32:45] [0.0] | 예측값: [2025-12-08 18:32:45] [0.000789583] | diff_abs: 0.0008, diff_pct: 0.08% | 정상
[2025-12-08 18:32:46] MFC8_NH3 | 실제값: [2025-12-08 18:32:44] [0.0] | 예측값: [2025-12-08 18:32:44] [-0.014856761] | diff_abs: 0.0149, diff_pct: 1.49% | 정상
[2025-12-08 18:32:46] MFC8_NH3 | 실제값: [2025-12-08 18:32:45] [4.141] | 예측값: [2025-12-08 18:32:45] [3.8742318] | diff_abs: 0.2668, diff_pct: 6.44% | 정상
[2025-12-08 18:32:46] MFC1_N2-1 | 실제값: [2025-12-08 18:32:44] [1.441] | 예측값: [2025-12-08 18:32:44] [1.4625654] | diff_abs: 0.0216, diff_pct: 1.50% | 정상
[2025-12-08 18:32:46] MFC1_N2-1 | 실제값: [2025-12-08 18:32:45] [1.503] | 예측값: [2025-12-08 18:32:45] [1.5061189] | diff_abs: 0.0031, diff_pct: 0.21% | 정상
[2025-12-08 18:32:46] MFC2_N2-2 | 실제값: [2025-12-08 18:32:44] [0.0] | 예측값: [2025-12-08 18:32:44] [0.011081154] | diff_abs: 0.0111, diff_pct: 1.11% | 정상
[2025-12-08 18:32:46] MFC2_N2-2 | 실제값: [2025-12-08 18:32:45] [0.0] | 예측값: [2025-12-08 18:32:45] [0.009518343] | diff_abs: 0.0095, diff_pct: 0.95% | 정상
[2025-12-08 18:32:46] MFC3_N2-3 | 실제값: [2025-12-08 18:32:44] [0.996] | 예측값: [2025-12-08 18:32:44] [0.98791534] | diff_abs: 0.0081, diff_pct: 0.81% | 정상
[2025-12-08 18:32:46] MFC3_N2-3 | 실제값: [2025-12-08 18:32:45] [0.557] | 예측값: [2025-12-08 18:32:45] [0.3792644] | diff_abs: 0.1777, diff_pct: 31.91% | 이상
[2025-12-08 18:32:46] MFC4_N2-4 | 실제값: [2025-12-08 18:32:44] [0.501] | 예측값: [2025-12-08 18:32:44] [0.49966675] | diff_abs: 0.0013, diff_pct: 0.27% | 정상
